ticker,period,category,price,support,resistance,dist_to_support_pct,dist_to_resistance_pct,volume_ratio,entry_trigger,entry_signal,signal_active,is_retest,retest_level,days_since_breakout,retest_worst_undercut_pct,tight_prior_base,prior_base_range_pct,company_name,sector,industry,description
A,3mo,NEAR_RESISTANCE_AVOID,156.47,141.25,160.51,10.78,2.58,1.96,160.51,WAIT - buy trigger is a close above 160.51,False,False,,,,,,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates through three segments: Life Sciences and Diagnostics Markets, Agilent CrossLab, and Applied Markets. The Life Sciences and Diagnostics Markets segment offers liquid chromatography systems and components; and liquid chromatography mass sp"
AA,3mo,BREAKOUT_RALLY,44.43,42.53,46.94,4.47,5.65,2.82,46.94,ENTER - closed above 46.94 resistance on 2.82x volume,True,False,,,,False,14.97,,,,
AAC,3mo,NEAR_RESISTANCE_AVOID,10.07,10.05,10.17,0.2,0.99,4.21,10.17,WAIT - buy trigger is a close above 10.17,False,False,,,,,,,,,
AACG,3mo,NEAR_SUPPORT_BUY,0.84,0.83,0.98,1.2,16.67,0.83,0.83,ENTER - holding support at 0.83,True,False,,,,,,,,,
AACI,3mo,NEAR_RESISTANCE_AVOID,10.04,9.99,10.07,0.5,0.3,39.7,10.07,WAIT - buy trigger is a close above 10.07,False,False,,,,,,,,,
AACO,3mo,NEAR_RESISTANCE_AVOID,9.99,9.94,9.99,0.5,0.0,0.0,9.99,WAIT - buy trigger is a close above 9.99,False,False,,,,,,,,,
AACP,3mo,NEAR_RESISTANCE_AVOID,10.07,10.01,10.07,0.6,0.0,5.43,10.07,WAIT - buy trigger is a close above 10.07,False,False,,,,,,,,,
AACPR,3mo,NEUTRAL,0.15,0.14,0.16,7.14,6.67,0.0,0.16,NO SIGNAL - next trigger is a close above 0.16,False,False,,,,,,,,,
AACPU,3mo,RETEST_BUY,10.3,10.25,10.71,0.49,3.98,0.0,10.25,"ENTER - retest of 10.25 breakout level (14d ago), holding (tight prior base)",True,True,10.25,14.0,-0.49,True,0.49,,,,
AADX,3mo,NEAR_RESISTANCE_AVOID,12.76,11.77,12.95,8.41,1.49,4.35,12.95,WAIT - buy trigger is a close above 12.95,False,False,,,,,,,,,
AAL,3mo,NEAR_RESISTANCE_AVOID,12.96,12.55,13.28,3.27,2.47,1.21,13.28,WAIT - buy trigger is a close above 13.28,False,False,,,,,,,,,
AAME,3mo,NEUTRAL,1.35,1.28,1.4,5.47,3.7,0.17,1.4,NO SIGNAL - next trigger is a close above 1.4,False,False,,,,,,,,,
AAMI,3mo,NEAR_SUPPORT_BUY,90.74,89.32,93.92,1.59,3.5,2.9,89.32,ENTER - holding support at 89.32,True,False,,,,,,,,,
AAOI,3mo,NEUTRAL,105.17,102.1,116.9,3.01,11.15,1.36,116.9,NO SIGNAL - next trigger is a close above 116.9,False,False,,,,,,,,,
AAON,3mo,NEUTRAL,76.76,73.91,81.55,3.86,6.24,1.38,81.55,NO SIGNAL - next trigger is a close above 81.55,False,False,,,,,,,,,
AAP,3mo,RETEST_BUY,42.55,41.68,44.22,2.09,3.92,0.87,41.68,"ENTER - retest of 41.68 breakout level (19d ago), holding",True,True,41.68,19.0,0.46,False,34.09,,,,
AAPG,3mo,BELOW_SUPPORT,15.06,15.4,17.75,-2.21,17.86,0.43,15.4,WAIT - needs to reclaim 15.4 before entry,False,False,,,,,,,,,
AAPL,3mo,NEAR_RESISTANCE_AVOID,336.13,319.07,344.27,5.35,2.42,2.06,344.27,WAIT - buy trigger is a close above 344.27,False,False,,,,,,Apple Inc.,Technology,Consumer Electronics,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple Vision Pro, Apple TV, Apple Watch, Beats products, and HomePod, as well as Apple brande"
AARD,3mo,NEAR_SUPPORT_BUY,5.38,5.32,5.88,1.13,9.29,1.8,5.32,ENTER - holding support at 5.32,True,False,,,,,,,,,
